Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|04/01/2023|Vente|309000,00|86||RUE|0200|DU CARRE ROCHER|1500|AMBERIEU-EN-BUGEY|01|4||AV|919||||||||||||0|3|Dépendance||0|0|S||1000
|||||||000001|04/01/2023|Vente|309000,00||||B184|EN PERABOZ|1500|AMBERIEU-EN-BUGEY|01|4||AV|924||||||||||||0||||||P||192
|||||||000001|05/01/2023|Vente|79000,00|7||RUE|1860|HENRI DUNANT|1000|BOURG-EN-BRESSE|01|53||BM|109||515||532|87,00|||||||2|3|Dépendance||0|0|||
|||||||000001|05/01/2023|Vente|79000,00|7||RUE|1860|HENRI DUNANT|1000|BOURG-EN-BRESSE|01|53||BM|109||515||532|87,00|||||||2|2|Appartement||86|4|||
|||||||000001|06/01/2023|Vente|9500,00|6||RUE|1070|DE CUIRON|1000|BOURG-EN-BRESSE|01|53||AV|44||296||||||||||1|3|Dépendance||0|0|||
|||||||000001|04/01/2023|Vente|175000,00|5||IMP|0316|DE JOURMELY|1250|HAUTECOURT-ROMANECHE|01|184||AK|128||||||||||||0|3|Dépendance||0|0|S||220
|||||||000001|04/01/2023|Vente|175000,00|5||IMP|0316|DE JOURMELY|1250|HAUTECOURT-ROMANECHE|01|184||AK|128||||||||||||0|1|Maison||90|3|S||220
|||||||000001|04/01/2023|Vente|175000,00||||B041|CHALLES|1250|HAUTECOURT-ROMANECHE|01|184||AK|246||||||||||||0||||||S||373
|||||||000001|04/01/2023|Vente|175000,00||||B041|CHALLES|1250|HAUTECOURT-ROMANECHE|01|184||AK|248||||||||||||0||||||J||77
|||||||000001|04/01/2023|Vente|145800,00|4||CHE|0370|DE LYONNIERE|1370|SAINT-ETIENNE-DU-BOIS|01|350||C|178||3||||||||||1|2|Appartement||73|3|||
